id,NUCLEUS METCENTER-X,NUCLEUS METCENTER-Y,NUCLEUS AREA,NUCLEUS ELLIPSE-ECCENTRICITY,NUCLEUS ELLIPSE-MAJOR AXIS LENGTH,NUCLEUS ELLIPSE-MINOR AXIS LENGTH,NUCLEUS ELLIPSE-ORIENT,NUCLEUS ENCLOSING CIRCLE RADIUS,NUCLEUS EXTENT,NUCLEUS FORM FACTOR,NUCLEUS HARALICK TEXTURE-1 Blue 0 3,NUCLEUS HARALICK TEXTURE-2 Blue 0 3,NUCLEUS HARALICK TEXTURE-3 Blue 0 3,NUCLEUS HARALICK TEXTURE-4 Blue 0 3,NUCLEUS HARALICK TEXTURE-5 Blue 0 3,NUCLEUS HARALICK TEXTURE-6 Blue 0 3,NUCLEUS HARALICK TEXTURE-7 Blue 0 3,NUCLEUS HARALICK TEXTURE-8 Blue 0 3,NUCLEUS HARALICK TEXTURE-9 Blue 0 3,NUCLEUS HARALICK TEXTURE-10 Blue 0 3,NUCLEUS HARALICK TEXTURE-11 Blue 0 3,NUCLEUS HARALICK TEXTURE-12 Blue 0 3,NUCLEUS HARALICK TEXTURE-1 Green 0 3,NUCLEUS HARALICK TEXTURE-2 Green 0 3,NUCLEUS HARALICK TEXTURE-3 Green 0 3,NUCLEUS HARALICK TEXTURE-4 Green 0 3,NUCLEUS HARALICK TEXTURE-5 Green 0 3,NUCLEUS HARALICK TEXTURE-6 Green 0 3,NUCLEUS HARALICK TEXTURE-7 Green 0 3,NUCLEUS HARALICK TEXTURE-8 Green 0 3,NUCLEUS HARALICK TEXTURE-9 Green 0 3,NUCLEUS HARALICK TEXTURE-10 Green 0 3,NUCLEUS HARALICK TEXTURE-11 Green 0 3,NUCLEUS HARALICK TEXTURE-12 Green 0 3,NUCLEUS HARALICK TEXTURE-1 Red 0 3,NUCLEUS HARALICK TEXTURE-2 Red 0 3,NUCLEUS HARALICK TEXTURE-3 Red 0 3,NUCLEUS HARALICK TEXTURE-4 Red 0 3,NUCLEUS HARALICK TEXTURE-5 Red 0 3,NUCLEUS HARALICK TEXTURE-6 Red 0 3,NUCLEUS HARALICK TEXTURE-7 Red 0 3,NUCLEUS HARALICK TEXTURE-8 Red 0 3,NUCLEUS HARALICK TEXTURE-9 Red 0 3,NUCLEUS HARALICK TEXTURE-10 Red 0 3,NUCLEUS HARALICK TEXTURE-11 Red 0 3,NUCLEUS HARALICK TEXTURE-12 Red 0 3,NUCLEUS HU MOMENTS-1,NUCLEUS HU MOMENTS-2,NUCLEUS HU MOMENTS-3,NUCLEUS HU MOMENTS-4,NUCLEUS HU MOMENTS-5,NUCLEUS HU MOMENTS-6,NUCLEUS HU MOMENTS-7,NUCLEUS INTENSITY-INTEGRATED Blue,NUCLEUS INTENSITY-INTEGRATED Green,NUCLEUS INTENSITY-INTEGRATED Red,NUCLEUS INTENSITY-MAX Blue,NUCLEUS INTENSITY-MAX Green,NUCLEUS INTENSITY-MAX Red,NUCLEUS INTENSITY-MEAN Blue,NUCLEUS INTENSITY-MEAN Green,NUCLEUS INTENSITY-MEAN Red,NUCLEUS INTENSITY-MEDIAN Blue,NUCLEUS INTENSITY-MEDIAN Green,NUCLEUS INTENSITY-MEDIAN Red,NUCLEUS INTENSITY-MIN Blue,NUCLEUS INTENSITY-MIN Green,NUCLEUS INTENSITY-MIN Red,NUCLEUS INTENSITY-STDDEV Blue,NUCLEUS INTENSITY-STDDEV Green,NUCLEUS INTENSITY-STDDEV Red,NUCLEUS NUMBER OF COMPONENTS,NUCLEUS PERIMETER,NUCLEUS REAL DIAMETER,NUCLEUS REAL PERIMETER,NUCLEUS SOLIDITY,NUCLEUS VOLUMETRY,CELL METCENTER-X,CELL METCENTER-Y,CELL AREA,CELL ELLIPSE-ECCENTRICITY,CELL ELLIPSE-MAJOR AXIS LENGTH,CELL ELLIPSE-MINOR AXIS LENGTH,CELL ELLIPSE-ORIENT,CELL ENCLOSING CIRCLE RADIUS,CELL EXTENT,CELL FORM FACTOR,CELL HARALICK TEXTURE-1 Blue 0 3,CELL HARALICK TEXTURE-2 Blue 0 3,CELL HARALICK TEXTURE-3 Blue 0 3,CELL HARALICK TEXTURE-4 Blue 0 3,CELL HARALICK TEXTURE-5 Blue 0 3,CELL HARALICK TEXTURE-6 Blue 0 3,CELL HARALICK TEXTURE-7 Blue 0 3,CELL HARALICK TEXTURE-8 Blue 0 3,CELL HARALICK TEXTURE-9 Blue 0 3,CELL HARALICK TEXTURE-10 Blue 0 3,CELL HARALICK TEXTURE-11 Blue 0 3,CELL HARALICK TEXTURE-12 Blue 0 3,CELL HARALICK TEXTURE-1 Green 0 3,CELL HARALICK TEXTURE-2 Green 0 3,CELL HARALICK TEXTURE-3 Green 0 3,CELL HARALICK TEXTURE-4 Green 0 3,CELL HARALICK TEXTURE-5 Green 0 3,CELL HARALICK TEXTURE-6 Green 0 3,CELL HARALICK TEXTURE-7 Green 0 3,CELL HARALICK TEXTURE-8 Green 0 3,CELL HARALICK TEXTURE-9 Green 0 3,CELL HARALICK TEXTURE-10 Green 0 3,CELL HARALICK TEXTURE-11 Green 0 3,CELL HARALICK TEXTURE-12 Green 0 3,CELL HARALICK TEXTURE-1 Red 0 3,CELL HARALICK TEXTURE-2 Red 0 3,CELL HARALICK TEXTURE-3 Red 0 3,CELL HARALICK TEXTURE-4 Red 0 3,CELL HARALICK TEXTURE-5 Red 0 3,CELL HARALICK TEXTURE-6 Red 0 3,CELL HARALICK TEXTURE-7 Red 0 3,CELL HARALICK TEXTURE-8 Red 0 3,CELL HARALICK TEXTURE-9 Red 0 3,CELL HARALICK TEXTURE-10 Red 0 3,CELL HARALICK TEXTURE-11 Red 0 3,CELL HARALICK TEXTURE-12 Red 0 3,CELL HU MOMENTS-1,CELL HU MOMENTS-2,CELL HU MOMENTS-3,CELL HU MOMENTS-4,CELL HU MOMENTS-5,CELL HU MOMENTS-6,CELL HU MOMENTS-7,CELL INTENSITY-INTEGRATED Blue,CELL INTENSITY-INTEGRATED Green,CELL INTENSITY-INTEGRATED Red,CELL INTENSITY-MAX Blue,CELL INTENSITY-MAX Green,CELL INTENSITY-MAX Red,CELL INTENSITY-MEAN Blue,CELL INTENSITY-MEAN Green,CELL INTENSITY-MEAN Red,CELL INTENSITY-MEDIAN Blue,CELL INTENSITY-MEDIAN Green,CELL INTENSITY-MEDIAN Red,CELL INTENSITY-MIN Blue,CELL INTENSITY-MIN Green,CELL INTENSITY-MIN Red,CELL INTENSITY-STDDEV Blue,CELL INTENSITY-STDDEV Green,CELL INTENSITY-STDDEV Red,CELL NUMBER OF COMPONENTS,CELL PERIMETER,CELL REAL DIAMETER,CELL REAL PERIMETER,CELL SOLIDITY,CELL VOLUMETRY
1,26738.24609375,41073.875,340,0.885000705718994140625,29.9172649383544921875,13.92916965484619140625,85.13834381103515625,14.569065093994140625,0.755555570125579833984375,0.6968472003936767578125,230415.625,5701,-0.0007913377485238015651702880859375,12105255936,762.0733642578125,6193,48421019648,-6381.85791015625,-5300.576171875,3416362240,-7066.69384765625,-1.249577999114990234375,209154.125,6397,-0.000791358645074069499969482421875,12948219904,745.4407958984375,6405,51792875520,-6361.275390625,-5195.7099609375,3924069632,-7005.04541015625,-1.2574651241302490234375,277048.375,7128,-0.0007913936278782784938812255859375,10100531200,720.73779296875,5657,40402116608,-6533.75537109375,-5471.9169921875,4668642304,-6958.1708984375,-1.24256527423858642578125,0.20500050485134124755859375,0.015179065056145191192626953125,0.0005809731665067374706268310546875,4.2885330913122743368148803710938e-05,-2.9809485990739403860061429440975e-09,-3.4929971661767922341823577880859e-06,6.0775677823698970314580947160721e-09,171566.40625,236881.453125,298576.15625,207,138,123,142.3235321044921875,63.067646026611328125,42.549999237060546875,139,58,37,99,10,0,22.4634609222412109375,26.395267486572265625,29.6338520050048828125,1,66,29.13813018798828125,74.2842864990234375,0.954758167266845703125,340,26752.740234375,41073.9765625,18461,0.728431224822998046875,188.9971160888671875,129.485504150390625,87.759246826171875,89.5506591796875,0.813977062702178955078125,0.805883586406707763671875,622856960,93104,-2.0972600395907647907733917236328e-05,3220540424716288,41453.40234375,519788,12882161698865152,-427573.125,-413966.78125,22330111688704,-478885.46875,-1.066965579986572265625,582539904,89013,-2.0972591300960630178451538085938e-05,3049440470368256,41750.16015625,505792,12197761881473024,-425676.1875,-413620.625,20172633014272,-480335.875,-1.06429803371429443359375,666712064,113167,-2.09726276807487010955810546875e-05,3866668325404672,41980.45703125,569548,15466673301618688,-433884.4375,-424396.34375,24788145799168,-481323.34375,-1.061595916748046875,0.17463226616382598876953125,0.0037098522298038005828857421875,0.000404677004553377628326416015625,1.4884404663462191820144653320312e-05,-1.1542427014177292221575044095516e-09,-9.0608364189392887055873870849609e-07,4.6644729745359825301420642063022e-11,34149384,86812856,30661320,255,255,255,223.2967376708984375,202.2960357666015625,228.271820068359375,251,250,251,90,10,0,43.0094451904296875,68.57477569580078125,40.753772735595703125,1,480,179.101318359375,533.01947021484375,0.988766491413116455078125,18461
2,26659.943359375,41069.6875,210,0.972433567047119140625,32.970569610595703125,7.6880779266357421875,-89.589508056640625,14.577480316162109375,0.77777779102325439453125,0.4675796329975128173828125,95888,5564,-0.001164646469987928867340087890625,4790118400,454.405120849609375,4727,19160469504,-3961.69384765625,-3243.78271484375,1865603968,-4342.4853515625,-1.2795803546905517578125,104957.125,5504,-0.001164665794931352138519287109375,3772584960,461.2950439453125,4195,15090334720,-3997.9716796875,-3244.115234375,1753507200,-4339.66064453125,-1.28056108951568603515625,98162,6058,-0.00116472016088664531707763671875,4133347840,438.84136962890625,4391,16533385216,-3989.670166015625,-3195.950439453125,2076130176,-4298.26025390625,-1.28708922863006591796875,0.338675081729888916015625,0.086971126496791839599609375,0.0008429523441009223461151123046875,9.8240088846068829298019409179688e-05,-1.3623458805511745595140382647514e-08,-1.812927075661718845367431640625e-05,2.4771489748331987357232719659805e-08,56390.95703125,100943.625,75517.125,175,100,174,129.4142913818359375,46.25238037109375,125.8190460205078125,129,42.5,124,83,6,85,16.3868350982666015625,21.9245052337646484375,18.9632625579833984375,1,64,29.15496063232421875,68.9705657958984375,0.89393937587738037109375,210,26646.736328125,41061.6328125,16267,0.697984635829925537109375,177.0471954345703125,126.78574371337890625,-87.884979248046875,89.08011627197265625,0.761920392513275146484375,0.750997245311737060546875,245524624,65866,-2.2245098080020397901535034179688e-05,1036567875420160,35588.51953125,303705,4146271501680640,-384030,-361962.125,27906828926976,-438261.90625,-1.1062428951263427734375,316723424,54046,-2.2245101717999204993247985839844e-05,815700927053824,37307.99609375,269413,3262803708215296,-389291.40625,-371091.59375,18678099738624,-442796.375,-1.09329569339752197265625,236301216,96985,-2.2245096261030994355678558349609e-05,1964519114932224,34826.63671875,418101,7858076459728896,-382072.375,-361043.8125,39492102651904,-435991.125,-1.111724853515625,0.174800872802734375,0.002571093849837779998779296875,0.00070368661545217037200927734375,2.7664809749694541096687316894531e-05,-9.204885742519763880409300327301e-10,-8.2649285104707814753055572509766e-07,3.7485841097861793969059363007545e-09,11797652,20523514,9054591,255,248,255,161.021392822265625,104.713287353515625,202.9727630615234375,154,95,205,77,6,85,26.9304790496826171875,35.519931793212890625,23.592864990234375,1,467,178.1602325439453125,517.9483642578125,0.98625123500823974609375,16267
3,26487.978515625,41090.77734375,950,0.702651679515838623046875,40.4680328369140625,28.79438018798828125,51.82698822021484375,21.50591278076171875,0.77805078029632568359375,0.8285772800445556640625,903311.5,9393,-0.00033409017487429082393646240234375,211115556864,1921.6793212890625,16800,844462227456,-17328.90234375,-14763.37109375,29612779520,-19775.044921875,-1.21774017810821533203125,974485.875,10002,-0.000334095093421638011932373046875,224386875392,1914.589599609375,17320,897547436032,-17676.587890625,-15167.068359375,32130287616,-19676.2421875,-1.2079737186431884765625,939898,10153,-0.00033408854505978524684906005859375,261344411648,1848.865478515625,18692,1045377646592,-17313.13671875,-14688.1943359375,35385561088,-19565.5859375,-1.22507941722869873046875,0.17091824114322662353515625,0.003195243887603282928466796875,0.00014165988250169903039932250976562,6.5817348513519391417503356933594e-06,1.6709533756653627278865315020084e-10,2.4397843390033813193440437316895e-07,1.1166294278108779280955786816776e-10,198247.890625,201450.3125,179108.234375,199,135,214,150.664215087890625,79.442108154296875,171.7084197998046875,148,77,173,116,37,133,14.4458293914794921875,14.562038421630859375,13.730804443359375,1,103,43.0118255615234375,116.6690673828125,0.977668821811676025390625,950,26486.470703125,41088.94921875,26377,0.4444725215435028076171875,193.0320281982421875,172.9166412353515625,50.803974151611328125,96.50139617919921875,0.77078402042388916015625,0.8921492099761962890625,1010230848,120598,-1.4036407264939043670892715454102e-05,9183274660265984,62255.03125,718060,36733098641063936,-652465.0625,-632213.25,62744564858880,-745424.875,-1.06792938709259033203125,905215552,118428,-1.4036389984539709985256195068359e-05,7691441929191424,61813.09765625,657152,30765767716765696,-645602.4375,-624513.5,65605310873600,-743523.8125,-1.07284200191497802734375,939453504,135389,-1.4036411812412552535533905029297e-05,9598755837837312,59979.71875,734124,38395023351349248,-648882.8125,-621560.6875,91240297136128,-736157.375,-1.08158147335052490234375,0.1604030430316925048828125,0.00032695310073904693126678466796875,5.3524763643508777022361755371094e-06,4.0134814582870603771880269050598e-08,-1.8538413805360004493749670473335e-14,-6.9896949339565139780461322516203e-10,-1.5365421185165343762046852305048e-15,51144360,127742712,23383274,255,255,255,213.357086181640625,186.0913238525390625,226.277435302734375,238,224,240,82,37,127,44.033802032470703125,69.59136962890625,29.7741909027099609375,1,515,193.0027923583984375,606.54034423828125,0.99274027347564697265625,26377
4,26606.529296875,41190.125,455,0.724940478801727294921875,28.03395843505859375,19.3101139068603515625,16.46518707275390625,14.42230510711669921875,0.84259259700775146484375,0.83202135562896728515625,203576.75,5477,-0.0006855636020191013813018798828125,27446579200,862.5174560546875,8679,109786308608,-7428.57958984375,-6202.2841796875,4811925504,-8404.35546875,-1.2528860569000244140625,222848.625,4811,-0.000685582286678254604339599609375,17971908608,885.903076171875,7023,71887626240,-7656.8134765625,-6307.8203125,4118551552,-8484.783203125,-1.245187282562255859375,187909,7948,-0.0006855513784103095531463623046875,38739181568,799.6617431640625,10311,154956709888,-7249.48974609375,-5999.4482421875,7189623808,-8198.869140625,-1.267879009246826171875,0.170429229736328125,0.00327515066601336002349853515625,3.2866486435523256659507751464844e-05,2.9917333677076385356485843658447e-07,-6.3191774946416701119744629977504e-13,-7.8779880396950829890556633472443e-09,-6.9336826861651768005856411036802e-13,58812.60546875,102447.3984375,49614.99609375,227,191,217,185.1582489013671875,129.7978057861328125,189.002197265625,184,127,189,150,98,152,11.369190216064453125,15.00530338287353515625,10.4424114227294921875,1,72,28.8446102142333984375,79.4558563232421875,0.973224699497222900390625,455,26605.802734375,41196.7578125,21534,0.426023662090301513671875,174.5800323486328125,157.9446563720703125,-4.37929534912109375,89.09484100341796875,0.72850906848907470703125,0.85036551952362060546875,1016046208,111950,-1.6201063772314228117465972900391e-05,6102746948173824,54339.5625,628882,24410987792695296,-570424.625,-553979.9375,41101222215680,-638416.875,-1.06221807003021240234375,1022215936,106222,-1.6201056496356613934040069580078e-05,5817899348393984,54813.453125,614030,23271597393575936,-570521.5625,-555584.5,36398832812032,-640402.75,-1.0597746372222900390625,996438720,117773,-1.6201071048271842300891876220703e-05,6459331239215104,54090.60546875,646994,25837324956860416,-570491.375,-553860.5,44783003238400,-637226.125,-1.06364023685455322265625,0.161490738391876220703125,0.00029408538830466568470001220703125,3.0260363928391598165035247802734e-05,4.3519136738723318558186292648315e-07,-1.5768268852092703902201265009353e-12,-3.6249980794877956213895231485367e-09,-8.7882216152739001113758376959595e-14,20748132,64114240,16083243,255,255,255,232.037017822265625,215.129058837890625,234.693511962890625,249,246,250,130,59,125,31.0403881072998046875,54.565093994140625,27.329044342041015625,1,474,178.1896820068359375,560.98455810546875,0.98853456974029541015625,21534
